studentID,Timestamp,Username,caseID (e.g. nbm6) ,First Name,Last Name,LAB – TBC2 – TBC3 – TBC1,TBC2 – LAB – TBC1 – TBC3,TBC3 – TBC1 – LAB – TBC2,TBC1 – TBC3 – TBC2 – LAB,optimal_rotation,rotation_order
1,2024/02/01 10:48:26 AM EST,,,,,24,0,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
2,2024/01/31 11:00:00 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
3,2024/02/02 4:55:24 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
4,2024/02/01 11:10:31 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
5,2024/02/02 10:18:02 AM EST,,,,,0,7,3,14,Option 1,LAB – TBC2 – TBC3 – TBC1
6,2024/01/25 8:59:22 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
7,2024/01/31 5:39:57 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
8,2024/02/01 4:35:50 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
9,2024/01/21 12:36:47 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
10,2024/01/25 8:43:23 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
11,2024/01/27 11:57:37 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
12,2024/02/01 10:24:59 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
13,2024/01/28 7:51:19 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
14,2024/01/20 4:05:41 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
15,2024/01/18 2:40:38 PM EST,,,,,0,22,2,0,Option 1,LAB – TBC2 – TBC3 – TBC1
16,2024/01/24 12:07:47 PM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
17,2024/01/31 10:42:59 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
18,2024/01/31 8:22:09 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
19,2024/02/01 11:42:47 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
20,2024/02/01 9:38:54 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
21,2024/01/29 10:25:00 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
22,2024/02/01 7:09:53 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
23,2024/01/30 11:52:12 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
24,2024/01/19 8:20:31 PM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
25,2024/01/31 8:50:51 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
26,2024/01/25 5:33:07 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
27,2024/01/24 9:59:40 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
28,2024/01/19 4:24:13 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
29,2024/01/20 6:24:13 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
30,2024/02/02 11:37:46 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
31,2024/02/02 1:24:17 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
32,2024/02/02 10:10:53 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
33,2024/01/18 1:14:33 PM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
34,2024/01/26 4:03:05 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
35,2024/01/30 7:34:48 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
36,2024/01/29 2:21:48 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
37,2024/01/18 1:22:41 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
38,2024/01/20 8:23:26 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
39,2024/02/02 9:40:40 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
40,2024/02/02 11:34:30 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
41,2024/02/01 8:50:11 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
42,2024/01/25 7:40:16 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
43,2024/01/22 10:02:10 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
44,2024/01/31 6:34:41 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
45,2024/01/25 11:49:51 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
46,2024/01/31 11:37:09 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
47,2024/01/31 10:02:31 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
48,2024/01/18 6:58:17 PM EST,,,,,0,4,20,0,Option 1,LAB – TBC2 – TBC3 – TBC1
49,2024/01/25 10:20:50 AM EST,,,,,23,0,1,0,Option 1,LAB – TBC2 – TBC3 – TBC1
50,2024/02/01 4:59:11 PM EST,,,,,0,3,7,14,Option 1,LAB – TBC2 – TBC3 – TBC1
51,2024/02/01 4:49:02 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
52,2024/01/30 12:04:44 PM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
53,2024/02/01 5:09:52 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
54,2024/02/01 8:52:01 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
55,2024/01/21 11:35:28 AM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
56,2024/01/25 9:33:21 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
57,2024/01/18 2:09:15 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
58,2024/01/30 1:09:09 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
59,2024/01/30 1:29:49 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
60,2024/02/02 6:23:24 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
61,2024/01/23 8:00:41 AM EST,,,,,0,0,0,24,Option 1,LAB – TBC2 – TBC3 – TBC1
62,2024/01/19 5:13:03 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
63,2024/01/20 4:17:19 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
64,2024/01/21 2:35:28 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
65,2024/02/02 9:40:20 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
66,2024/02/01 11:53:54 PM EST,,,,,0,24,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
