studentID,Timestamp,Username,caseID (e.g. nbm6) ,First Name,Last Name,LAB – TBC2 – TBC3 – TBC1,TBC2 – LAB – TBC1 – TBC3,TBC3 – TBC1 – LAB – TBC2,TBC1 – TBC3 – TBC2 – LAB,optimal_rotation,rotation_order
1,2025/01/23 12:05:57 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
2,2025/01/23 3:13:43 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
3,2025/01/23 3:54:39 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
4,2025/01/23 4:02:46 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
5,2025/01/23 6:32:05 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
6,2025/01/23 7:20:03 PM EST,,,,,0,1,2,21,Option 1,LAB – TBC2 – TBC3 – TBC1
7,2025/01/23 7:50:51 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
8,2025/01/24 2:39:01 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
9,2025/01/24 2:54:36 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
10,2025/01/24 7:52:43 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
11,2025/01/25 10:08:49 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
12,2025/01/26 12:36:52 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
13,2025/01/26 9:41:58 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
14,2025/01/27 12:02:31 PM EST,,,,,10,4,6,4,Option 1,LAB – TBC2 – TBC3 – TBC1
15,2025/01/27 4:16:16 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
16,2025/01/27 5:54:35 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
17,2025/01/27 10:54:09 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
18,2025/01/28 12:54:31 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
19,2025/01/28 1:12:28 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
20,2025/01/28 8:45:58 PM EST,,,,,0,0,1,23,Option 4,TBC1 – TBC3 – TBC2 – LAB
21,2025/01/28 11:37:30 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
22,2025/01/29 12:29:23 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
23,2025/01/29 1:22:56 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
24,2025/01/29 9:34:38 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
25,2025/01/30 11:37:57 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
26,2025/01/30 11:38:23 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
27,2025/01/30 1:00:05 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
28,2025/01/30 4:51:03 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
29,2025/01/30 5:19:37 PM EST,,,,,0,24,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
30,2025/01/30 10:40:14 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
31,2025/01/31 9:44:59 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
32,2025/01/31 9:57:04 AM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
33,2025/01/31 10:17:43 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
34,2025/01/31 11:59:55 AM EST,,,,,0,20,4,0,Option 1,LAB – TBC2 – TBC3 – TBC1
35,2025/01/31 1:31:21 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
36,2025/01/31 8:17:50 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
37,2025/01/31 8:49:05 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
38,2025/01/31 11:07:21 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
39,2025/02/01 12:31:55 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
40,2025/02/01 6:46:39 AM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
41,2025/02/01 8:50:46 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
42,2025/02/01 10:44:10 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
43,2025/02/01 10:44:18 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
44,2025/02/01 11:01:43 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
45,2025/02/01 11:37:07 AM EST,,,,,0,12,12,0,Option 1,LAB – TBC2 – TBC3 – TBC1
46,2025/02/01 3:48:16 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
47,2025/02/01 3:48:36 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
48,2025/02/01 3:56:23 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
49,2025/02/01 4:32:29 PM EST,,,,,0,0,12,12,Option 1,LAB – TBC2 – TBC3 – TBC1
50,2025/02/01 4:35:33 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
51,2025/02/01 6:44:41 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
52,2025/02/01 6:53:41 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
53,2025/02/01 7:10:58 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
54,2025/02/01 9:15:42 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
55,2025/02/01 9:46:26 PM EST,,,,,0,24,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
56,2025/02/01 9:54:03 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
57,2025/02/01 9:54:30 PM EST,,,,,24,0,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
58,2025/02/01 10:01:02 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
59,2025/02/01 10:39:18 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
60,2025/02/01 10:45:32 PM EST,,,,,0,24,0,0,Option 1,LAB – TBC2 – TBC3 – TBC1
61,2025/02/01 10:53:18 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
62,2025/02/01 11:32:10 PM EST,,,,,0,6,18,0,Option 1,LAB – TBC2 – TBC3 – TBC1
63,2025/02/01 11:49:09 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
64,2025/02/02 9:49:04 AM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
65,2025/02/02 11:50:22 AM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
66,2025/02/02 1:21:08 PM EST,,,,,0,0,24,0,Option 1,LAB – TBC2 – TBC3 – TBC1
67,2025/02/02 4:11:01 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
68,2025/02/02 4:42:17 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
69,2025/02/02 5:05:46 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
70,2025/02/02 5:29:47 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
71,2025/02/02 6:10:36 PM EST,,,,,0,0,0,24,Option 4,TBC1 – TBC3 – TBC2 – LAB
72,2025/02/02 7:41:44 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
73,2025/02/02 9:18:33 PM EST,,,,,0,12,12,0,Option 1,LAB – TBC2 – TBC3 – TBC1
74,2025/02/02 9:39:58 PM EST,,,,,0,0,24,0,Option 3,TBC3 – TBC1 – LAB – TBC2
75,2025/02/02 10:49:43 PM EST,,,,,0,24,0,0,Option 2,TBC2 – LAB – TBC1 – TBC3
